Time [s],Value
0.013520500000000,0x000C01064B000000
1.013520000000000,0x000C01074B000000
2.013526000000000,0x000C01084B000000
2.513831500000000,0x000C01094B000000
3.513829000000000,0x000C010A4B000000
4.013528500000000,0x000C010B4B000000
5.013526500000000,0x000C010C4B000000
6.013528000000000,0x000C010D4B000000
7.013529500000000,0x000C010E4B000000
8.013533000000001,0x000C010F4B000000
9.013535500000000,0x000C01104B000000
9.513844000000001,0x000C01114B000000
10.513846500000000,0x000C01124B000000
11.013539500000000,0x000C01134B000000
12.013546500000000,0x000C01144B000000
13.513852999999999,0x000C00144B000000
14.513850500000000,0x000C01144B000000
16.513860000000001,0x000C03144B000000
17.013553500000000,0x000C05544B000000
18.013556000000001,0x000C01144B000000
19.513894000000001,0x000C01544B000000
20.013558000000000,0x000C01944B000000
21.013559999999998,0x000C01D44B000000
22.013561500000002,0x000C01144B000000
27.013576000000000,0x000C03144B000000
28.013574500000001,0x000C05544B000000
28.513881000000001,0x000C05944B000000
29.513911000000000,0x000C05D44B000000
30.013608500000000,0x000C05544B000000
31.013580000000001,0x000C01144B000000
34.013587999999999,0x000C41244B000000
35.013591499999997,0x000C01144B000000
37.013570999999999,0x000C11144B000000
38.013596999999997,0x000C01144B000000
39.013599499999998,0x000C21144B000000
40.013604000000001,0x000C01144B000000
41.513911499999999,0x000C00144B000000
