Time [s],Value
0.013520500000000,0x000000D260803000
1.013520000000000,0x000000D2E0803000
2.013526000000000,0x000000D210803000
2.513831500000000,0x000000D290803000
3.513829000000000,0x000000D250803000
4.013528500000000,0x000000D2D0803000
5.013526500000000,0x000000D230803000
6.013528000000000,0x000000D2B0803000
7.013529500000000,0x000000D270803000
8.013533000000001,0x000000D2F0803000
9.013535500000000,0x000000D208803000
9.513844000000001,0x000000D288803000
10.513846500000000,0x000000D248803000
11.013539500000000,0x000000D2C8803000
12.013546500000000,0x000000D228803000
13.513852999999999,0x000000D228003000
14.513850500000000,0x000000D228803000
16.513860000000001,0x000000D228C03000
17.013553500000000,0x000000D22AA03000
18.013556000000001,0x000000D228803000
19.513894000000001,0x000000D22A803000
20.013558000000000,0x000000D229803000
21.013559999999998,0x000000D22B803000
22.013561500000002,0x000000D228803000
27.013576000000000,0x000000D228C03000
28.013574500000001,0x000000D22AA03000
28.513881000000001,0x000000D229A03000
29.513911000000000,0x000000D22BA03000
30.013608500000000,0x000000D22AA03000
31.013580000000001,0x000000D228803000
34.013587999999999,0x000000D224823000
35.013591499999997,0x000000D228803000
37.013570999999999,0x000000D228883000
38.013596999999997,0x000000D228803000
39.013599499999998,0x000000D228843000
40.013604000000001,0x000000D228803000
41.513911499999999,0x000000D228003000
